,person,subset,# shots,Feature Set,AccLDAfew,AccLDAadapted,AccLDAsemi,AccLDAsemiAdapt,AccLDAsemi_shot,AccLDAsemiAdapt_shot,AccLDAsemi_accumulative,AccLDAsemiAdapt_accumulative,AccQDAfew,AccQDAadapted,AccQDAsemi,AccQDAsemiAdapt,AccQDAsemi_shot,AccQDAsemiAdapt_shot,AccQDAsemi_accumulative,AccQDAsemiAdapt_accumulative
22,27,"[1, 2, 3]",3,1,0.8608999695956218,0.8795226512617818,0.8321678321678322,0.8516456369717239,0.8609379750684099,0.8829051383399209,0.8308756460930374,0.8353222864092429,0.9112002128306476,0.9017748555792034,0.9209866220735786,0.8608999695956218,0.8808148373365765,0.8664867740954697,0.8501634235329888,0.8468759501368197
23,27,"[1, 2, 3, 4]",4,1,0.8608999695956218,0.8795226512617818,0.9242930982061417,0.9293858315597446,0.9390392216479173,0.939400273639404,0.9132715110975981,0.916064913347522,0.9112002128306476,0.9017748555792034,0.9545834600182427,0.9131574946792338,0.9490346609911827,0.9317041653998176,0.8850714502888416,0.8800167224080268
24,28,"[1, 2]",2,1,0.9957081545064378,0.991625204147518,0.9978160963196475,0.9736032511679137,0.9978160963196475,0.9736032511679137,0.9978160963196475,0.9736032511679137,0.997265372782863,0.9963158494435793,0.9988036005925026,0.9989935052603593,0.9988036005925026,0.9989935052603593,0.9988036005925026,0.9989935052603593
25,28,"[1, 2, 3]",3,1,0.9957081545064378,0.991625204147518,0.9986326863914315,0.9954232975046526,0.9985187435907175,0.9940749743628698,0.9985947054578601,0.9926886702875156,0.997265372782863,0.9963158494435793,0.9977781153860762,0.9978160963196475,0.9977591249192905,0.9972273918492917,0.9977401344525049,0.9979300391203616
26,28,"[1, 2, 3, 4]",4,1,0.9957081545064378,0.991625204147518,0.9985757149910744,0.9983288389228607,0.9983288389228607,0.9982338865889323,0.9994302859964298,0.9992213908617874,0.997265372782863,0.9963158494435793,0.9992213908617874,0.9994302859964298,0.9995062478635725,0.9995822097307152,0.9982908579892894,0.9993733145960728
27,29,"[1, 2]",2,1,0.9873691808011548,0.99745484244715,0.9971509430378545,0.9988223897889799,0.9971509430378545,0.9988223897889799,0.9971509430378545,0.9988223897889799,0.9915667913920493,0.9183460274649091,0.999335220042166,0.9980626412657411,0.999335220042166,0.9980626412657411,0.999335220042166,0.9980626412657411
28,29,"[1, 2, 3]",3,1,0.9873691808011548,0.99745484244715,0.9996961005907045,0.9999050314345952,0.9997150943037855,0.9998670440084332,0.9997340880168664,0.9998480502953523,0.9915667913920493,0.9183460274649091,0.9998670440084332,0.9991832703375183,0.9998670440084332,1.0,0.9998860377215142,1.0
29,29,"[1, 2, 3, 4]",4,1,0.9873691808011548,0.99745484244715,0.9996011320252997,0.9998480502953523,0.9996011320252997,0.9997910691561094,0.9996201257383805,0.9997530817299474,0.9915667913920493,0.9183460274649091,1.0,0.9998860377215142,1.0,1.0,1.0,1.0
30,30,"[1, 2]",2,1,0.8156079578923366,0.935831417333308,0.891367548976761,0.9227202766640697,0.891367548976761,0.9227202766640697,0.891367548976761,0.9227202766640697,0.7983924601440325,0.966842115264028,0.941531913276455,0.9955726148174892,0.941531913276455,0.9955726148174892,0.941531913276455,0.9955726148174892
31,30,"[1, 2, 3]",3,1,0.8156079578923366,0.935831417333308,0.9066638797575389,0.9623957284283733,0.9605525680734224,0.9773310277994185,0.94960761586258,0.9600775267448268,0.7983924601440325,0.966842115264028,0.9471564026070268,0.9977958082353164,0.9956296197769205,0.9980428297261862,0.9954966082049138,0.9978338115416041
32,30,"[1, 2, 3, 4]",4,1,0.8156079578923366,0.935831417333308,0.896745016816463,0.9894160791988903,0.9866228361867483,0.988161970091398,0.9897581089554791,0.9915442643509985,0.7983924601440325,0.966842115264028,0.922264236988618,0.9985178710547817,0.9900811370589241,0.9979288198073233,0.997092747068995,0.9973967735192962
33,31,"[1, 2]",2,1,0.9317314084908348,0.9478772912907208,0.973292810333365,0.977927628454744,0.973292810333365,0.977927628454744,0.973292810333365,0.977927628454744,0.9109886978820401,0.9427675942634628,0.9783835122043879,0.9809858486086048,0.9783835122043879,0.9809858486086048,0.9783835122043879,0.9809858486086048
34,31,"[1, 2, 3]",3,1,0.9317314084908348,0.9478772912907208,0.9893817076645456,0.9905404121948903,0.9922689714122899,0.9923069617247602,0.9916421312565296,0.9919650489125273,0.9109886978820401,0.9427675942634628,0.9740336214265363,0.9791623136100295,0.9754962484566435,0.9782125557982715,0.9765599772058126,0.9781175800170956
35,31,"[1, 2, 3, 4]",4,1,0.9317314084908348,0.9478772912907208,0.9887358723525501,0.9910532814132397,0.9856206667299838,0.9879760661031437,0.9923259568809953,0.9924209326621711,0.9109886978820401,0.9427675942634628,0.9915471554753538,0.9949852787539177,0.9919460537562922,0.9948523126602716,0.9915091651628835,0.9922499762560547
36,32,"[1, 2]",2,1,0.9571493693967482,0.9707111381249051,0.9728954566175353,0.9826394165020513,0.9728954566175353,0.9826394165020513,0.9728954566175353,0.9826394165020513,0.9129881476979183,0.8952476827229904,0.9579281264245555,0.9782707795167908,0.9579281264245555,0.9782707795167908,0.9579281264245555,0.9782707795167908
37,32,"[1, 2, 3]",3,1,0.9571493693967482,0.9707111381249051,0.9741490654915667,0.9791824950615408,0.978194803221395,0.9783847439598845,0.977264093602796,0.983741072785291,0.9129881476979183,0.8952476827229904,0.9648989515271236,0.9814427898495669,0.9699893633186446,0.9811008965202856,0.9747948640024312,0.9801321987539887
38,32,"[1, 2, 3, 4]",4,1,0.9571493693967482,0.9707111381249051,0.9857734386871296,0.990237046041635,0.9864952134933901,0.988812490502963,0.9829433216836347,0.9885845616167755,0.9129881476979183,0.8952476827229904,0.9711290077495821,0.9802651572709314,0.9858304209086765,0.9903130223370309,0.9785366965506762,0.978194803221395
39,33,"[1, 2]",2,1,0.9387355535279805,0.9821890206812652,0.9790336070559611,0.987055200729927,0.9790336070559611,0.987055200729927,0.9790336070559611,0.987055200729927,0.9786344282238443,0.9865229622871047,0.9804592457420924,0.9960842457420924,0.9804592457420924,0.9960842457420924,0.9804592457420924,0.9960842457420924
40,33,"[1, 2, 3]",3,1,0.9387355535279805,0.9821890206812652,0.9831774635036497,0.9881957116788321,0.9831014294403893,0.9865799878345499,0.9853824513381995,0.9874733880778589,0.9786344282238443,0.9865229622871047,0.981485705596107,0.993765206812652,0.9753459549878345,0.9925106447688564,0.9809914841849149,0.9914841849148418
41,33,"[1, 2, 3, 4]",4,1,0.9387355535279805,0.9821890206812652,0.9854965024330901,0.990191605839416,0.9760682785888077,0.9811815693430657,0.9867700729927007,0.9874543795620438,0.9786344282238443,0.9865229622871047,0.9634086070559611,0.968084701946472,0.9168947688564477,0.9427843673965937,0.925467609489051,0.9316073600973236
42,34,"[1, 2]",2,1,0.9754887989511486,0.9756028045374223,0.977977920918125,0.9854072849569628,0.977977920918125,0.9854072849569628,0.977977920918125,0.9854072849569628,0.9879724106481218,0.9954207756180052,0.992228619202341,0.9969788519637462,0.992228619202341,0.9969788519637462,0.992228619202341,0.9969788519637462
43,34,"[1, 2, 3]",3,1,0.9754887989511486,0.9756028045374223,0.9918486005814285,0.9947557430314086,0.9975868817572061,0.9976438845503429,0.9960098044804195,0.9969218491706093,0.9879724106481218,0.9954207756180052,0.9939957057895837,0.9978148929297536,0.9950787588591841,0.9981759106196204,0.9940717095137662,0.9972068631362937
44,34,"[1, 2, 3, 4]",4,1,0.9754887989511486,0.9756028045374223,0.9954777784111422,0.9967318398601531,0.9969218491706093,0.99709285755002,0.9978148929297536,0.997890896653936,0.9879724106481218,0.9954207756180052,0.9935586843755344,0.997491877101978,0.9952497672385947,0.9972638659294305,0.9949267514108191,0.9956487867905527
45,35,"[1, 2]",2,1,0.8941158588718104,0.8783652841373283,0.9374536887504037,0.9169912412364866,0.9374536887504037,0.9169912412364866,0.9374536887504037,0.9169912412364866,0.8830011589687079,0.9210951304314784,0.942887542036365,0.9197271673664811,0.942887542036365,0.9197271673664811,0.942887542036365,0.9197271673664811
46,35,"[1, 2, 3]",3,1,0.8941158588718104,0.8783652841373283,0.9395626318089412,0.8991127239564531,0.9346417646723538,0.9230140786198773,0.9457944635494842,0.9317918416202763,0.8830011589687079,0.9210951304314784,0.9465164440560105,0.9452244789390687,0.9627040069918112,0.9546482244979385,0.9612980449527863,0.9463454486728858
47,35,"[1, 2, 3, 4]",4,1,0.8941158588718104,0.8783652841373283,0.9324378241787472,0.8969847814109019,0.9133243402428134,0.9195371724963426,0.9374916877244315,0.9359907282503372,0.8830011589687079,0.9210951304314784,0.9122793684570517,0.9544392301407862,0.9465924420040659,0.9583721239526533,0.948606387627534,0.950392339406836
48,36,"[1, 2]",2,1,0.9858847220639082,0.9977772711729169,0.9997150347657586,0.9995060602606483,0.9997150347657586,0.9995060602606483,0.9997150347657586,0.9995060602606483,0.8695619134465595,0.9730422888407614,0.9968463847410616,0.998480185417379,0.9968463847410616,0.998480185417379,0.9968463847410616,0.998480185417379
49,36,"[1, 2, 3]",3,1,0.9858847220639082,0.9977772711729169,0.9986321668756412,0.9985181807819447,0.9950036095596337,0.9951935863824614,0.9974923059386754,0.9975872943500893,0.8695619134465595,0.9730422888407614,0.9986891599224894,0.9993920741669516,0.9994300695315171,0.9988601390630343,0.9993350811201034,0.9992400927086895
50,36,"[1, 2, 3, 4]",4,1,0.9858847220639082,0.9977772711729169,0.9977012804437858,0.9962954519548615,0.9848778449029219,0.983984953835632,0.9908811125042745,0.991242068467647,0.8695619134465595,0.9730422888407614,0.9989361297921654,0.9990501158858619,0.9934078042478818,0.995858505262358,0.998803146016186,0.9987081576047723
